id;lat;lon;elevation;huette;visited;visitdate
1;46.55555818229910;8.15222728997468;0;Aarbiwak SAC;False;
2;46.60915081389240;8.46294075250625;0;Albert-Heim-Hütte SAC;False;
3;46.10766699537630;8.00769528374075;0;Almagellerhütte SAC;False;
4;46.03133325465020;7.66516579315066;0;Arbenbiwak SAC;False;
5;46.58704186789690;8.28268499113619;0;Baechlitalhütte SAC;False;
6;46.45128940232090;7.68956601619720;0;Balmhornhütte SAC;False;
7;46.39507658779620;7.88979266770184;0;Baltschiederklause SAC;False;
8;46.56675213016560;8.02048212848603;0;Berglihütte SAC;False;
9;46.65744105353950;8.48489312455058;0;Bergseehütte SAC;False;
10;46.39507289975880;7.81711360439658;0;Bietschhornhütte;False;
11;46.81454415433100;9.02649616822600;0;Bifertenhütte;False;
12;46.37468014843760;8.29188454896211;0;Binntalhütte SAC;False;
13;45.92723580077290;7.06894299946725;0;Biv. du Dolent-La Maye CAS;False;
14;46.77014814689750;8.44675496220588;0;Biwak am Grassen SAC;False;
15;46.51009021326890;7.77166281826794;0;Bluemlisalphütte SAC;True;2018-06-25
16;46.14451585337510;7.84979950636625;0;Bordierhütte SAC;False;
17;46.06006256304680;7.93509366922080;0;Britanniahütte SAC;False;
18;46.84090037830170;8.41058520600199;0;Brunnihütte SAC;False;
19;46.02019999176260;7.60094524361193;0;Cab. de la Dent Blanche CAS;False;
20;46.10092895105480;7.67942206934094;0;Cabane d'Arpitettaz CAS;False;
21;46.00187757052480;7.06275790929794;0;Cabane d'Orny CAS;False;
22;46.00606910884380;7.52770920284092;0;Cabane de Bertol CAS;False;
23;45.93916442245240;7.38087737001478;0;Cabane de Chanrion CAS;False;
24;45.94881811179220;7.06686244346201;0;Cabane de l'A Neuve CAS;False;
25;46.09082129783920;7.59546775370836;0;Cabane de Moiry CAS;False;
26;45.97635551355770;7.07028762437403;0;Cabane de Saleinaz CAS;False;
27;46.13938042894000;6.89798209816217;0;Cabane de Susanfe CAS;False;
28;46.13016343675550;7.67955022864043;0;Cabane de Tracuit CAS;False;
29;45.93032822012900;7.27169838733971;0;Cabane de Valsorey CAS;False;
30;46.33872094564130;7.21537275239825;0;Cabane des Diablerets CAS;False;
31;46.01104955188930;7.41772463545203;0;Cabane des Dix CAS;False;
32;45.98981676623220;7.47567543759942;0;Cabane des Vignettes CAS;False;
33;46.34234251454470;7.50007289461791;0;Cabane des Violettes CAS;False;
34;46.08353440649800;7.28105644695460;0;Cabane du Mont Fort CAS;False;
35;46.05996172875160;7.65352659858763;0;Cabane du Mountet CAS;False;
36;45.99956366233520;7.04367080703377;0;Cabane du Trient CAS;False;
37;45.91688339598470;7.24544836208224;0;Cabane du Velan CAS;False;
38;46.23022223822770;7.13415831327438;0;Cabane Rambert CAS;False;
39;46.88300460577010;9.48223499581217;0;Calandahütte SAC;False;
40;46.74246967770150;8.81423762999475;0;Camona da Cavardiras CAS;False;
41;46.62532285787160;8.69006937369704;0;Camona da Maighels CAS;False;
42;46.77719078958030;8.95608927123248;0;Camona da Punteglias CAS;False;
43;46.49909743107850;8.99580373428761;0;Capanna Adula CAS;False;
44;46.43954392522570;8.51413046009838;0;Capanna Basodino CAS;False;
45;46.57164590433230;8.69521938264369;0;Capanna Cadlimo CAS;False;
46;46.44418942742040;8.73274273239076;0;Capanna Campo Tencia CAS;False;
47;46.46702324040230;8.40999579057097;0;Capanna Corno Gries CAS;False;
48;46.47181383334100;8.52649066597223;0;Capanna Cristallina CAS;False;
49;46.27128769643600;8.58929098583757;0;Capanna d'Alzasca CAS;False;
50;46.33006579242640;9.65532548725605;0;Capanna da l'Albigna CAS;False;
51;46.33182758465400;9.70950736664235;0;Capanna del Forno CAS;False;
52;46.31251903250810;9.61116836406290;0;Capanna di Sciora CAS;False;
53;46.59325939603140;9.00543311610817;0;Capanna Motterascio CAS;False;
54;46.49439669214180;8.47142457962036;0;Capanna Piansecco CAS;False;
55;46.31531691178670;9.58244743756949;0;Capanna Sasc Furae CAS;False;
56;47.00699273496860;9.82727847062051;0;Carschinahütte SAC;False;
57;46.38368046842510;9.83548217453062;0;Chamanna Coaz CAS;False;
58;46.61137855611740;9.90291173569858;0;Chamanna d'Es-cha CAS;False;
59;46.41514051705590;9.92509896866977;0;Chamanna da Boval CAS;False;
60;46.71010865829880;9.96054243296384;0;Chamanna da Grialetsch CAS;False;
61;46.40387834049760;9.88008831627666;0;Chamanna da Tschierva CAS;False;
62;46.77943211048840;10.08287941105660;0;Chamanna dal Linard CAS;False;
63;46.52924763970070;9.72444048151373;0;Chamanna Jenatsch CAS;False;
64;46.76558369770640;10.33449056558310;0;Chamanna Lischana CAS;False;
65;46.61934295669190;9.69093575142323;0;Chamonas d'Ela CAS;False;
66;46.83055719360700;10.13249793089920;0;Chamonna Tuoi CAS;False;
67;46.67169816792010;8.44008078798651;0;Chelenalphütte SAC;False;
68;46.85952010564500;8.93580028787255;0;Claridenhütte SAC;False;
69;46.04186980985100;7.60708138346672;0;Col de la Dent Blanche CAS;False;
70;46.59332821145650;9.35902671888470;0;Cufercalhütte SAC;False;
71;46.64482268504790;8.45773961395025;0;Dammahütte SAC;False;
72;46.48689371533690;7.69741558469831;0;Doldenhornhütte SAC;True;2017-06-15
73;46.10266392119220;7.81760629266500;0;Domhütte SAC;False;
74;46.65519587695590;8.16944581456482;0;Dossenhütte SAC;False;
75;47.03876769170160;9.55161225982010;0;Enderlinhütte SAC;False;
76;46.68317785486570;8.17284517921507;0;Engelhornhütte;False;
